latitude, longitude, hora, velocidade
22.3193, 127.7858, 2022-09-06 10:16:14.905400, 27652.311789345975
22.8225, 128.2363, 2022-09-06 10:16:25.378377, 27653.58566036246
23.3242, 128.6904, 2022-09-06 10:16:35.915548, 27484.356779393136
23.8243, 129.1483, 2022-09-06 10:16:46.374972, 27688.573034428755
24.2992, 129.588, 2022-09-06 10:16:56.849498, 26336.09100485853
24.7961, 130.0536, 2022-09-06 10:17:07.314116, 27676.16116538388
25.2913, 130.5233, 2022-09-06 10:17:17.798491, 27625.04029583681
25.7846, 130.9971, 2022-09-06 10:17:28.258910, 27681.84288466932
26.2761, 131.4753, 2022-09-06 10:17:38.701007, 27733.607798064026
26.7657, 131.958, 2022-09-06 10:17:49.158646, 27693.801860892665
27.2533, 132.4452, 2022-09-06 10:17:59.632921, 27646.96608708887
27.7389, 132.9371, 2022-09-06 10:18:10.098485, 27671.05469641752
28.2225, 133.4338, 2022-09-06 10:18:20.587440, 27611.813780896227
28.7039, 133.9355, 2022-09-06 10:18:31.112824, 27516.36716414108
29.183, 134.4421, 2022-09-06 10:18:41.560328, 27714.879179324136
29.6374, 134.9296, 2022-09-06 10:18:52.027064, 26359.11162278926
30.1121, 135.4464, 2022-09-06 10:19:02.510020, 27623.846967410936
30.5844, 135.9688, 2022-09-06 10:19:12.953697, 27732.466962533254
31.0542, 136.4966, 2022-09-06 10:19:23.410839, 27692.26528269525
31.6102, 137.1324, 2022-09-06 10:19:35.690912, 28075.37536501511
32.0743, 137.6728, 2022-09-06 10:19:46.156423, 27669.2038266843
32.5357, 138.2192, 2022-09-06 10:19:56.669415, 27545.43201660579
32.9944, 138.7717, 2022-09-06 10:20:07.183859, 27544.270739219366
33.4502, 139.3305, 2022-09-06 10:20:17.709517, 27515.64099361097
33.8815, 139.8685, 2022-09-06 10:20:28.142535, 26433.66409218863
34.3316, 140.4398, 2022-09-06 10:20:38.629369, 27619.91511185908
34.7784, 141.0178, 2022-09-06 10:20:49.093011, 27677.35836493928
35.3482, 141.7707, 2022-09-06 10:21:02.238572, 28322.259452409733
35.7668, 142.3359, 2022-09-06 10:21:12.716270, 26325.457142203988
36.2029, 142.9361, 2022-09-06 10:21:23.174866, 27684.813865098567
36.6356, 143.5436, 2022-09-06 10:21:33.650562, 27644.531471453003
37.0647, 144.1584, 2022-09-06 10:21:44.095211, 27725.175041903673
37.4901, 144.7807, 2022-09-06 10:21:54.553120, 27690.07916920974
37.9117, 145.4107, 2022-09-06 10:22:05.181395, 27247.923584279662
38.3295, 146.0484, 2022-09-06 10:22:15.677327, 27592.555552136295
38.7432, 146.694, 2022-09-06 10:22:26.187843, 27551.7694120503
