latitude, longitude, hora, velocidade
-50.6361, -6.0584, 2022-09-06 12:53:40.263716, 27249.906710440115
-48.894, 3.2083, 2022-09-06 12:55:20.895179, 27458.63900240533
-46.4155, 11.65, 2022-09-06 12:57:01.440785, 27347.01837213181
-43.2989, 19.2676, 2022-09-06 12:58:41.968209, 27493.99759147024
-39.676, 26.0424, 2022-09-06 13:00:22.508290, 27496.699509349157
-35.6542, 32.0629, 2022-09-06 13:02:03.096364, 27488.78929727296
-31.3219, 37.4438, 2022-09-06 13:03:43.637864, 27511.219054470475
-26.774, 42.2779, 2022-09-06 13:05:24.162125, 27388.567107708168
-22.0227, 46.7209, 2022-09-06 13:07:04.673225, 27536.81459925989
-17.1362, 50.8438, 2022-09-06 13:08:45.229581, 27532.809854519473
-12.1524, 54.7318, 2022-09-06 13:10:25.779296, 27542.969048793053
-7.1031, 58.4607, 2022-09-06 13:12:06.332986, 27550.37513210756
-1.9667, 62.1352, 2022-09-06 13:13:48.081400, 27501.041343133427
3.1045, 65.7309, 2022-09-06 13:15:28.610072, 27427.928105957315
8.1864, 69.3845, 2022-09-06 13:17:09.128096, 27572.44420993771
13.227, 73.1439, 2022-09-06 13:18:49.619561, 27582.08512354858
18.198, 77.0803, 2022-09-06 13:20:30.145184, 27578.046845639503
23.0415, 81.2494, 2022-09-06 13:22:10.685515, 27437.196966018564
27.7657, 85.7801, 2022-09-06 13:23:51.204877, 27576.9207748469
32.2981, 90.7524, 2022-09-06 13:25:31.771451, 27564.398973811672
36.5776, 96.2772, 2022-09-06 13:27:12.361114, 27556.777883569335
40.5282, 102.4729, 2022-09-06 13:28:52.930195, 27562.44648252189
44.0396, 109.4147, 2022-09-06 13:30:33.485317, 27429.729464934615
47.0351, 117.2508, 2022-09-06 13:32:14.026912, 27569.819743303382
49.3713, 125.9531, 2022-09-06 13:33:54.574694, 27565.483243494476
50.9256, 135.4059, 2022-09-06 13:35:35.133383, 27564.8581808706
51.5997, 145.342, 2022-09-06 13:37:15.701314, 27563.77190844672
51.3461, 155.3752, 2022-09-06 13:38:56.284834, 27562.628820634407
50.1907, 165.0451, 2022-09-06 13:40:36.868375, 27427.57352413987
48.1991, 174.1198, 2022-09-06 13:42:17.408986, 27579.50187072203
45.4898, -177.6366, 2022-09-06 13:43:57.983652, 27571.362126061973
42.1353, -170.1651, 2022-09-06 13:45:40.269183, 27520.787229340793
38.3155, -163.573, 2022-09-06 13:47:20.821339, 27860.072600211606
34.1632, -157.7707, 2022-09-06 13:49:02.507909, 27281.707489644996
29.7268, -152.5718, 2022-09-06 13:50:43.020256, 27603.06527053696
25.0733, -147.8609, 2022-09-06 13:52:23.582818, 27592.611407075758
20.2809, -143.554, 2022-09-06 13:54:04.096126, 27470.353696616276
15.2952, -139.4764, 2022-09-06 13:55:45.646044, 27599.171688085808
10.2743, -135.6482, 2022-09-06 13:57:26.210559, 27594.974234193203
5.1754, -131.9366, 2022-09-06 13:59:07.131896, 27630.578364420337
0.1011, -128.3277, 2022-09-06 14:00:47.775267, 27432.142221912047
-4.9982, -124.7027, 2022-09-06 14:02:28.299105, 27597.121165620258
-10.071, -121.0151, 2022-09-06 14:04:08.935003, 27558.577261819588
-15.0906, -117.1972, 2022-09-06 14:05:49.476828, 27578.05111746518
-20.026, -113.1765, 2022-09-06 14:07:30.014929, 27568.432043386616
-24.8188, -108.894, 2022-09-06 14:09:10.540135, 27425.74750202535
-29.4741, -104.2158, 2022-09-06 14:10:51.072066, 27549.497309833816
-33.9151, -99.0591, 2022-09-06 14:12:31.649322, 27525.54796998958
-38.0765, -93.3099, 2022-09-06 14:14:12.225479, 27516.244686892893
-41.8766, -86.851, 2022-09-06 14:15:52.812432, 27505.279063850347
-45.2914, -79.3887, 2022-09-06 14:17:36.080037, 27447.183100016024
-48.0362, -71.2281, 2022-09-06 14:19:16.749549, 27463.244659947777
-50.0755, -62.2354, 2022-09-06 14:20:57.326385, 27482.921638563428
-51.2944, -52.5842, 2022-09-06 14:22:37.873303, 27486.754986700224
-51.6126, -42.5929, 2022-09-06 14:24:18.474876, 27467.630778875788
-51.0081, -32.6674, 2022-09-06 14:25:59.053994, 27472.100595142147
-49.5323, -23.2411, 2022-09-06 14:27:39.583660, 27350.48516703234
-47.2643, -14.4949, 2022-09-06 14:29:20.164443, 27474.37548930479
-44.3297, -6.605, 2022-09-06 14:31:00.701157, 27490.514265888938
-40.8523, 0.4249, 2022-09-06 14:32:41.262767, 27488.606240062316
-36.9444, 6.6688, 2022-09-06 14:34:21.851880, 27486.77403547231
-32.7004, 12.2361, 2022-09-06 14:36:02.459619, 27489.368547435453
-28.2203, 17.2203, 2022-09-06 14:37:43.000564, 27378.673047567743
-23.5203, 21.7819, 2022-09-06 14:39:23.551446, 27521.877750098683
-18.672, 25.9946, 2022-09-06 14:41:04.127398, 27522.343275151154
-13.7155, 29.9468, 2022-09-06 14:42:44.734750, 27521.076372600408
-8.6842, 33.7172, 2022-09-06 14:44:25.274870, 27547.741053265876
-3.6075, 37.3764, 2022-09-06 14:46:05.770951, 27565.669258604255
1.4881, 40.9907, 2022-09-06 14:47:46.321197, 27556.14381371863
6.5773, 44.6246, 2022-09-06 14:49:27.117466, 27494.474588638735
11.6093, 48.3244, 2022-09-06 14:51:07.659536, 27432.035190811624
16.6057, 52.1954, 2022-09-06 14:52:48.198708, 27570.567488055905
21.5102, 56.2949, 2022-09-06 14:54:28.717644, 27578.80173459569
26.2849, 60.7071, 2022-09-06 14:56:09.249837, 27574.85952090868
30.8619, 65.5027, 2022-09-06 14:57:49.793226, 27434.282084678674
35.2304, 70.8367, 2022-09-06 14:59:30.311552, 27576.644941484094
39.3008, 76.8106, 2022-09-06 15:01:10.845783, 27603.700403150557
42.9757, 83.5266, 2022-09-06 15:02:51.378338, 27572.056156426766
46.1533, 91.0849, 2022-09-06 15:04:31.930589, 27566.291679275182
48.7118, 99.5193, 2022-09-06 15:06:12.467109, 27569.461079027955
50.5187, 108.7085, 2022-09-06 15:07:53.136989, 27395.647415468608
51.4837, 118.5267, 2022-09-06 15:09:33.708926, 27560.805068462098
51.5295, 128.5744, 2022-09-06 15:11:14.314584, 27554.067992913304
50.6528, 138.4337, 2022-09-06 15:12:54.926988, 27552.684696786535
48.9139, 147.7386, 2022-09-06 15:14:35.513883, 27561.545972888598
46.4187, 156.2553, 2022-09-06 15:16:16.115617, 27559.763855556812
43.2919, 163.8977, 2022-09-06 15:17:56.696595, 27569.506503141998
39.656, 170.6921, 2022-09-06 15:19:37.264112, 27578.89697838903
35.6405, 176.6991, 2022-09-06 15:21:17.831670, 27444.166655067114
31.2723, -177.8811, 2022-09-06 15:22:58.401117, 27721.537468489594
26.617, -172.947, 2022-09-06 15:24:41.024115, 27437.997149735595
21.8488, -168.5051, 2022-09-06 15:26:21.589887, 27590.861158943484
16.9231, -164.3629, 2022-09-06 15:28:02.153737, 27728.784504528765
11.927, -160.4758, 2022-09-06 15:29:43.067986, 27494.225120743824
6.8933, -156.7647, 2022-09-06 15:31:23.624785, 27454.429359167018
1.8003, -153.1235, 2022-09-06 15:33:04.167712, 27592.29739468181
-3.3012, -149.5055, 2022-09-06 15:34:44.700161, 27592.478828801744
-8.3851, -145.8466, 2022-09-06 15:36:25.235368, 27585.191986517493
-13.425, -142.0804, 2022-09-06 15:38:05.869283, 27551.57751546786
-18.3672, -138.1566, 2022-09-06 15:39:46.456624, 27418.580660154897
